"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","dSlJg","Hzvxle","pkWtMe","dSlJg 2","znYl0","znYl0 2"
"https://lh3.googleusercontent.com/a-/ALV-UjXGoxb_qHvsERdul1dlzYrbQu4vD4cA7N2XGEUEI2lqDL9ZaPkXvA=w45-h45-p-rp-mo-ba4-br100","D V","Local Guide · 63 opiniones · 24 fotos","Hace un año","Pésima atención la señorita de admisión nisiquiera saluda,aparte en los chequeos ginecologicos cuando una está embarazada debería dejar ingresar con el esposo el también forma parte del embarazo y fomenta el vínculo con el bebé…","","Me gusta","4","","Compartir",""
"https://lh3.googleusercontent.com/a/ACg8ocJvqmCQRsjWJP_oI4FhB9Kz-bYwQPT_zDebDilON5YLuVUqNA=w45-h45-p-rp-mo-br100","Gabriela Santillan","1 opinión","Hace 2 años","Pésima atención, el doctor que le atendió a mi mamá, fisioterapeuta, grosero, déspota, da la contra a las indicaciones del médico que la operó, minimiza sus síntomas. 😡 si pudiera poner cero le pusiera.…","","Me gusta","3","","Compartir",""
"https://lh3.googleusercontent.com/a/ACg8ocJiDr95Pj4T-806KLCgGKLZq-SoVSXzDIjhsieBRQAJ9JuvgvKx=w45-h45-p-rp-mo-ba4-br100","jonathan Romero","Local Guide · 150 opiniones · 11 fotos","Hace un año","Una buena atención","","","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjVTN13wLL1rBNscv-YwHCWwM-te-udx0t2RdedBGOsj4pw36TetQA=w45-h45-p-rp-mo-ba4-br100","andres guaman","Local Guide · 4 opiniones · 238 fotos","Hace 11 meses","Exelente atención","","","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a/ACg8ocLAPt5g3S5QXi_OtaCXISU8TU5xmRO-BPkmaZnorup-cfrmrg=w45-h45-p-rp-mo-ba2-br100","William Guaigua","Local Guide · 15 opiniones · 29 fotos","Hace 5 años","Muy buena la atención","","Me gusta","1","","Compartir",""
"https://lh3.googleusercontent.com/a/ACg8ocLJx5PnbySeZfEMoD0sLD8AvKzc_d_qbQT55ohXMJw1iPrRlQ=w45-h45-p-rp-mo-ba3-br100","Miguel Daniel","Local Guide · 4 opiniones · 33 fotos","Hace 7 años","Dispensario del IESS. Traer siempre cédula para atención.","","Me gusta","1","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjX9eYIExYPRcDVurqIzcDXZsM_xD3VWvRXWtdZFs6nNIrlnok-Mdg=w45-h45-p-rp-mo-ba3-br100","Angelica Querido","Local Guide · 22 opiniones","Hace 2 años","Les falta mejorar la atención","","","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjVufa7GhpqmgEhCdjcrZf25lqnSCFbDMmQ4lAHU_6iAVCWnMAq9=w45-h45-p-rp-mo-ba4-br100","Juan Criollo","Local Guide · 59 opiniones · 34 fotos","Hace 2 años","Buena atención","","Me gusta","1","","Compartir",""
"https://lh3.googleusercontent.com/a-/ALV-UjXnVk0fPOK8w3sTC0dfS8GxRGlKsVCAKBwdlv-S07SakCwM4tes=w45-h45-p-rp-mo-br100","Amanda Tene","14 opiniones","Hace 2 años","Prolongado el tiempo de espera","","","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjU5hDgbvBfjD3ZCcdagCYw2js_rssdmOpBm7hxP0p9RJoVLmB63=w45-h45-p-rp-mo-ba3-br100","Sebas Salazar","Local Guide · 12 opiniones · 2 fotos","Hace 3 años","Hospital del Día , excelente atención","","","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjU-P44jXpi2-Mxk0b6kio4PlO7rI7STLbRRY99PrVDGton_93Ym=w45-h45-p-rp-mo-br100","Edwin Segundo Vasco Vasquez","79 opiniones · 4 fotos","Hace 2 años","Regular","","","","","Compartir","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjXhwWfcP9R6B33avDpcvz0VD76CSoDL39s-V3Yip32PjwgLrmI=w45-h45-p-rp-mo-br100","Santiago Veloz","3 opiniones · 1 foto","Hace 2 días","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWd0UBJyIy49FlupiZljZJMMFJYnCZdjPx3ICf3sJq8CtW1ktA=w45-h45-p-rp-mo-ba4-br100","Geovana Licto","Local Guide · 17 opiniones · 19 fotos","Hace un año","","","","","","",""
